sec,sample,state_ut,round,sch_name,fsu,su,sd,sss,ssu,svc,reason,st,nssreg,dc,strm,sstrm,sr,sro,nsc,mult,hhsize,religion,social,hhtype,bl04i05,bl04i06,bl04i07,bl04i08,bl04i09,bl04i10,bl07i011,bl07i012,bl07i013,bl07i014,bl07i015,bl07i016,bl07i017,bl07i018,bl07i019,bl07i0110,bl07i0111,bl07i0112,bl07i0113,bl07i0114,bl07i0115,bl07i0119,bl07i02,bl07i03,bl07i04,bl07i05,bl07i061,bl07i062,bl07i063,bl07i064,bl07i07,bl07i08,bl07i09,bl07i10,bl07i11,bl07i12,bl07i13,bl07i14,bl07i15,bl07i16,inf_srl,response
1,1,Sikkim,79,AYUSH,56575,2,,1,8,1,,11,111,1,23,2,4,1110,4,6469,6,1,1,4,11500,1000,0,8500,15000,14458,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1,1.0,1.0,1,1.0,1,1,1.0,3.0,1
1,1,Sikkim,79,AYUSH,56575,2,,2,1,1,,11,111,1,23,2,4,1110,4,788,1,1,1,2,2500,150,0,2000,8000,3483,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.0,2.0,2,,2,2,,1.0,1
1,1,Sikkim,79,AYUSH,56575,2,,2,2,1,,11,111,1,23,2,4,1110,4,788,2,1,1,2,5000,250,0,5000,11000,6583,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.0,2.0,1,1.0,1,1,2.0,2.0,1
1,1,Sikkim,79,AYUSH,56575,2,,2,3,1,,11,111,1,23,2,4,1110,4,788,3,1,1,4,8000,350,0,5000,9000,9517,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.0,2.0,1,2.0,4,1,2.0,2.0,1
1,1,Sikkim,79,AYUSH,56575,2,,2,4,1,,11,111,1,23,2,4,1110,4,788,3,1,1,2,7500,500,0,6000,8000,9167,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.0,2.0,1,2.0,2,1,2.0,2.0,1
1,1,Sikkim,79,AYUSH,56577,1,,1,1,1,,11,111,1,23,3,4,1110,4,7416,1,1,9,4,1800,0,400,1200,0,2300,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,5.0,2.0,2.0,,,,,,,1,1.0,2.0,2,,4,2,,1.0,1
1,1,Sikkim,79,AYUSH,56577,1,,1,2,1,,11,111,1,23,3,4,1110,4,7416,4,6,1,1,5200,600,350,6800,750,6779,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,3.0,2.0,,,,,,,1,1.0,2.0,1,1.0,1,2,,2.0,4
1,1,Sikkim,79,AYUSH,56577,1,,1,3,1,,11,111,1,23,3,4,1110,4,7416,5,6,1,1,6000,950,400,7200,200,7967,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,2.0,2.0,,,,,,,1,1.0,2.0,1,1.0,1,2,,99.0,2
1,1,Sikkim,79,AYUSH,56577,1,,1,4,1,,11,111,1,23,3,4,1110,4,7416,7,6,1,1,8000,1000,400,10000,0,10233,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0,2.0,,,,,,,1,1.0,2.0,1,1.0,1,2,,2.0,4
1,1,Sikkim,79,AYUSH,56577,1,,1,5,1,,11,111,1,23,3,4,1110,4,7416,4,6,1,1,5000,800,450,4500,300,6650,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,3.0,2.0,,,,,,,1,1.0,2.0,1,1.0,1,2,,2.0,4
1,1,Sikkim,79,AYUSH,56577,1,,1,6,1,,11,111,1,23,3,4,1110,4,7416,5,6,1,2,7200,0,350,8000,500,8258,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,2.0,1.0,0.0,1.0,0.0,0.0,3.0,3.0,1,1.0,2.0,1,1.0,1,2,,2.0,4
1,1,Sikkim,79,AYUSH,56577,1,,1,7,1,,11,111,1,23,3,4,1110,4,7416,7,6,1,1,6000,1200,450,10000,2000,8650,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0,2.0,,,,,,,1,1.0,2.0,1,1.0,1,2,,7.0,2
1,1,Sikkim,79,AYUSH,56577,1,,1,8,1,,11,111,1,23,3,4,1110,4,7416,5,6,1,1,6000,500,350,7000,0,7433,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,5.0,3.0,2.0,,,,,,,1,1.0,2.0,1,1.0,1,2,,1.0,4
1,1,Sikkim,79,AYUSH,56577,1,,2,1,1,,11,111,1,23,3,4,1110,4,1313,1,6,1,2,2000,0,0,2500,0,2208,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.0,2.0,2,,4,2,,1.0,2
1,1,Sikkim,79,AYUSH,56577,1,,2,2,1,,11,111,1,23,3,4,1110,4,1313,4,6,1,1,5500,800,300,6000,0,7100,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.0,2.0,1,1.0,1,2,,2.0,2
1,1,Sikkim,79,AYUSH,56577,1,,2,3,1,,11,111,1,23,3,4,1110,4,1313,3,6,1,1,4500,600,400,4000,0,5833,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.0,2.0,1,1.0,1,2,,1.0,1
1,1,Sikkim,79,AYUSH,56577,1,,2,4,1,,11,111,1,23,3,4,1110,4,1313,1,1,9,4,2000,0,450,1150,0,2546,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.0,2.0,2,,4,2,,1.0,3
1,1,Sikkim,79,AYUSH,56570,5,,1,1,1,,11,111,1,23,4,4,1110,4,984,4,6,1,2,9500,300,0,2000,10000,10800,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,1,2.0,2.0,1,1.0,1,2,,2.0,1
1,1,Sikkim,79,AYUSH,56570,5,,1,2,1,,11,111,1,23,4,4,1110,4,984,4,6,1,4,12000,400,0,6000,9000,13650,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,2.0,2.0,2.0,,,,,,,1,1.0,2.0,1,2.0,1,2,,1.0,1
1,1,Sikkim,79,AYUSH,56570,5,,1,3,1,,11,111,1,23,4,4,1110,4,984,6,6,1,1,12000,500,0,6000,9000,13750,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,3.0,2.0,2.0,,,,,,,1,1.0,2.0,1,1.0,1,1,2.0,6.0,1
